a range 	+1	+3600	1	2	1
a contact 	+10	+3600	1	2	100000
a contact 	+10	+3600	2	1	100000
a range 	+1	+3600	2	3	1
a contact 	+10	+3600	2	3	100000
a contact 	+10	+3600	3	2	100000
a range 	+1	+3600	3	4	1
a contact 	+10	+3600	3	4	100000
a contact 	+10	+3600	4	3	100000
a range 	+1	+3600	4	5	1
a contact 	+10	+3600	4	5	100000
a contact 	+10	+3600	5	4	100000
a range 	+1	+3600	5	6	1
a contact 	+10	+3600	5	6	100000
a contact 	+10	+3600	6	5	100000
a range 	+1	+3600	6	1	1
a contact 	+10	+3600	6	1	100000
a contact 	+10	+3600	1	6	100000
